"outcome","condition","model","n","mean","sd","median","iqr","min","max"
"Output tokens","General","granite4.1:8b",100,240.47,189.855418408298,178.5,244.25,9,858
"Output tokens","General","gemma4:12b",100,740.88,685.169141987081,482,621.25,70,4640
"Output tokens","General","qwen3.5:9b",100,2825.45,3369.33134983033,1719.5,1404.5,304,16384
"Output tokens","Sustainability","granite4.1:8b",100,136.63,115.043132447062,98.5,94.25,9,514
"Output tokens","Sustainability","gemma4:12b",100,635.43,759.161316283578,404,350.25,103,5044
"Output tokens","Sustainability","qwen3.5:9b",100,2718.06,3159.27872096902,1733.5,1554.75,416,16384
"Energy consumption (kWh)","General","granite4.1:8b",100,0.000229127793038107,0.000160062859823585,0.000177416914172818,0.000202402757271846,3.89640623726486e-05,0.000729023555827386
"Energy consumption (kWh)","General","gemma4:12b",100,0.000964275711893648,0.000852767622114031,0.000649635208761414,0.000752163863401571,0.000133608530406538,0.0059454340768259
"Energy consumption (kWh)","General","qwen3.5:9b",100,0.00240529276030325,0.00290545622679661,0.00144959267522804,0.00115511459418628,0.000300434751269837,0.0146372677673563
"Energy consumption (kWh)","Sustainability","granite4.1:8b",100,0.000143797541473757,9.82796220102922e-05,0.000111498226713947,7.37007031504343e-05,3.66876289343031e-05,0.00048317190360553
"Energy consumption (kWh)","Sustainability","gemma4:12b",100,0.000833458104910724,0.000931006639152761,0.000554368512458837,0.000431158947154903,0.000167712258983893,0.00618715559240336
"Energy consumption (kWh)","Sustainability","qwen3.5:9b",100,0.00230821350237951,0.00269269769811309,0.00148161070924342,0.0012712933322992,0.000381500376801595,0.0140304017896535
"Carbon emissions (g CO2eq)","General","granite4.1:8b",100,0.0872862327578669,0.0609759464497947,0.067586973454135,0.0771053303827098,0.0148433595608605,0.277721523592443
"Carbon emissions (g CO2eq)","General","gemma4:12b",100,0.367340832445885,0.32486182564434,0.247478532777661,0.286536823762829,0.0508981696583706,2.26491311156683
"Carbon emissions (g CO2eq)","General","qwen3.5:9b",100,0.916296277037523,1.10683354959817,0.552222329628121,0.440040904655263,0.114450618496245,5.57606715597437
"Carbon emissions (g CO2eq)","Sustainability","granite4.1:8b",100,0.0547796734244277,0.0374396220048208,0.042475249466678,0.0280762828651579,0.0139761522425228,0.184064336678527
"Carbon emissions (g CO2eq)","Sustainability","gemma4:12b",100,0.31750586506574,0.354666979185244,0.211186684821194,0.16425000091866,0.0638899850599139,2.35699692292606
"Carbon emissions (g CO2eq)","Sustainability","qwen3.5:9b",100,0.879313933731472,1.02578318809618,0.564419599686282,0.484299194939379,0.145332568542568,5.34488156176852
"Latency (s)","General","granite4.1:8b",100,2.2830542002758,1.5375650913272,1.7835653484799,1.92998797900509,0.441172619990539,7.20974305900745
"Latency (s)","General","gemma4:12b",100,10.1575460577669,8.44681329680508,7.06160869600717,7.55416306450206,1.81668783799978,59.2045320619945
"Latency (s)","General","qwen3.5:9b",100,24.1058099487232,28.36708858662,14.7556871424895,11.487373652024,3.33753953804262,142.203575573047
"Latency (s)","Sustainability","granite4.1:8b",100,1.45520681870694,0.934232076644211,1.15669942449313,0.735401843994623,0.412361342983786,4.52011799602769
"Latency (s)","Sustainability","gemma4:12b",100,8.8472343797778,9.27328107506801,6.06382263399428,4.23592657226254,2.1940143610118,62.0642820849898
"Latency (s)","Sustainability","qwen3.5:9b",100,23.1355840959918,26.3688528571573,14.8309321209963,12.5249559887307,4.0258476199815,137.975008414011
