run_id,task_category,model_slug,is_done,done_reason,total_duration_s,load_duration_s,input_token_count,input_token_duration_s,output_token_count,output_token_duration_s,is_thinking,output_char_count,thinking_char_count,generation_limit_reached,final_content_empty,generation_failure,reasoning_limit_failure,truncated_response,latency_s,cc_duration_s,carbon_emissions_grams,emissions_rate_grams_per_s,mean_cpu_power_w,mean_gpu_power_w,mean_ram_power_w,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,total_energy_consumed_kwh,cpu_util_percent,gpu_util_percent,ram_util_percent,avg_ram_used_gb
M1G__UP001,summarization,granite4.1:8b,True,stop,2.75886162,0.278051593,3390,0.356968,265,2.07194,False,1325,0,False,False,False,False,False,2.7636252290103585,4.275773140019737,0.10686489576074845,0.024993116393507996,12.502457637500001,207.67566711042986,20.0,1.309738635485792e-05,0.0002464754749578191,2.0949243322441665e-05,0.00028052210463511867,50.0,94.5,53.5,32.787954330444336
M1S__UP001,summarization,granite4.1:8b,True,stop,1.660952151,0.277850944,3451,0.073154,162,1.26977,False,879,0,False,False,False,False,False,1.6648097630240954,3.1764869680046104,0.06151637631648872,0.019366166754693718,12.501843256250002,155.82931684236559,20.0,9.279440746450354e-06,0.00013735983211038416,1.4842224233305185e-05,0.00016148149709013972,50.0,93.0,53.5,32.78874588012695
M1S__UP002,summarization,granite4.1:8b,True,stop,0.77921272,0.263075358,3192,0.036723,55,0.433062,False,244,0,False,False,False,False,False,0.782421882962808,2.2951865480281413,0.027059937734716353,0.011789864208625787,12.5,86.25411341928788,20.0,6.214057805563143e-06,5.48783772362782e-05,9.940345466667268e-06,7.103278050850861e-05,0,0,0,0
M1G__UP002,summarization,granite4.1:8b,True,stop,1.156879589,0.258717737,3131,0.036853,104,0.816119,False,460,0,False,False,False,False,False,1.160491565009579,2.672206590010319,0.041737737125525774,0.015619202976879343,12.500074925000002,121.37309684739428,20.0,7.527952358355828e-06,8.999257199349131e-05,1.2041720366687515e-05,0.00010956224471853465,0.0,94.0,53.6,32.7965087890625
M1G__UP003,summarization,granite4.1:8b,True,stop,4.812070616,0.29539465,3576,0.088327,554,4.377591,False,2903,0,False,False,False,False,False,4.815842374984641,6.332932510995306,0.18389661704496588,0.029038145713014087,12.5029491425,244.8543384000033,20.0,2.022422082685607e-05,0.0004301589552389018,3.234846075000759e-05,0.00048273163681576545,0.0,94.25,53.525,32.7877082824707
M1S__UP003,summarization,granite4.1:8b,True,stop,4.505241487,0.299082699,3637,0.097649,514,4.062402,False,2727,0,False,False,False,False,False,4.509452329017222,6.021303733985405,0.1730317918849154,0.02873659917009176,12.5031630275,241.90737045517585,20.0,1.9161191335623155e-05,0.00040440310129952195,3.064699988333612e-05,0.0004542112925184812,0.0,94.75,53.5,32.77517318725586
M1S__UP004,summarization,granite4.1:8b,True,stop,1.449299938,0.302832325,3271,0.047058,134,1.053054,False,726,0,False,False,False,False,False,1.4524591640220024,2.9635778210358694,0.05244260797121392,0.017695708072509284,12.501371937500004,140.39620866439304,20.0,8.541052539089607e-06,0.00011545842569926634,1.3663228077995073e-05,0.000137662706316351,0.0,94.0,53.5,32.78285598754883
M1G__UP004,summarization,granite4.1:8b,True,stop,3.508450386,0.286418459,3210,0.048047,399,3.127568,False,2034,0,False,False,False,False,False,3.5119054559618235,5.0225687039783224,0.13340653740948705,0.026561416134301394,12.502681100000002,221.88410579264698,20.0,1.5694750971527533e-05,0.0003093946919596746,2.5104906483385193e-05,0.00035019434941458734,0.0,94.0,53.5,32.78436279296875
M1G__UP005,summarization,granite4.1:8b,True,stop,1.854683007,0.259710155,3122,0.036628,194,1.518148,False,924,0,False,False,False,False,False,1.8584828460006975,3.3702343399636447,0.06998181114774626,0.020764672152886902,12.5020215125,168.75805083857486,20.0,9.952277176264373e-06,0.00015783262626634098,1.5918498966493644e-05,0.000183703402409099,0.0,95.0,53.5,32.78897476196289
M1S__UP005,summarization,granite4.1:8b,True,stop,1.1702964,0.300552353,3183,0.041166,101,0.787812,False,452,0,False,False,False,False,False,1.1741091340081766,2.685860886995215,0.04280360538618166,0.015936642732851232,12.500097256250003,124.35183711491786,20.0,7.5749471933091065e-06,9.266868524626659e-05,1.2116533950191095e-05,0.0001123601663897668,0.0,65.0,53.6,32.790000915527344
